"가정별","성별","연령별",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
"중위","남자","11세",0.00007,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","남자","12세",0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","남자","13세",0.00011,0.00010,0.00010,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
"중위","남자","14세",0.00014,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
"중위","남자","15세",0.00017,0.00016,0.00016,0.00015,0.00014,0.00014,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003
"중위","남자","16세",0.00021,0.00020,0.00019,0.00019,0.00018,0.00017,0.00016,0.00016,0.00015,0.00014,0.00014,0.00013,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003
"중위","남자","17세",0.00025,0.00024,0.00023,0.00022,0.00021,0.00020,0.00020,0.00019,0.00018,0.00017,0.00017,0.00016,0.00015,0.00015,0.00014,0.00014,0.00013,0.00013,0.00012,0.00011,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004
"중위","남자","18세",0.00029,0.00027,0.00026,0.00025,0.00024,0.00023,0.00022,0.00021,0.00020,0.00019,0.00019,0.00018,0.00017,0.00017,0.00016,0.00015,0.00015,0.00014,0.00013,0.00013,0.00012,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
"중위","남자","19세",0.00031,0.00030,0.00028,0.00027,0.00026,0.00025,0.00024,0.00023,0.00022,0.00021,0.00020,0.00019,0.00019,0.00018,0.00017,0.00016,0.00016,0.00015,0.00015,0.00014,0.00013,0.00013,0.00012,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005
"중위","남자","20세",0.00033,0.00032,0.00030,0.00029,0.00028,0.00026,0.00025,0.00024,0.00024,0.00023,0.00022,0.00021,0.00020,0.00019,0.00018,0.00018,0.00017,0.00016,0.00016,0.00015,0.00014,0.00014,0.00013,0.00013,0.00012,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005
